barcode,desc_corta,nombre,lote,stock_inicial,cantidad_sistema,costo,caducidad,almacen,cantidad_fisica
7506022300775,Sensi Medical jeringas de plástico 3ml 22x32ml,Sensi Medical jeringas de plástico 3ml 22x32ml   1 Solido,20181004,120,8,1.57,2023-10-03,ALLY-Farmacia,
7501943444942,Pañal Suavelastick Etapa 4 G,Pañal Suavelastick Etapa 4 G   40 Pañal,0,8,8,169.0,2024-03-01,ALLY-Farmacia,
7506022300683,Jeringa de plastico 10ml 21x32ml AZUL,Jeringa de plastico 10ml 21x32ml AZUL 10 ml ()  1 Jeringa,20190725,35,25,5.7,2024-07-25,ALLY-Farmacia,
7506205804144,Fórmula Especializada Puramino 0-12 meses,Fórmula Especializada Puramino 0-12 meses   ()  1 Fórmula,1504,1,1,1005.0,2024-09-01,ALLY-Farmacia,
7503034275091,Hidra2go Sabor Lima-Limon Polvo,Hidra2go Sabor Lima-Limon Polvo   10 Sobres,22S23958,2,1,110.71,2024-10-07,ALLY-Farmacia,
7503034275077,Hidra2go Sabor Fresa Polvo,Hidra2go Sabor Fresa Polvo   10 Sobres,22S23959,2,1,110.71,2024-10-07,ALLY-Farmacia,
7501303430509,Gravidinona,"Gravidinona (Hidroxiprogesterona,Estradiol ) 250 mg/5 mg 1 Ampolletas",XB30PSH,6,4,440.14,2024-10-31,ALLY-Farmacia,
7501476085582,Cryometasona 2ml IV/IM Sol. Iny,Cryometasona 2ml IV/IM Sol. Iny   (Dexametasona ) 8 mg  3 Ampolletas,21001,1,1,22.22,2024-10-31,ALLY-Farmacia,
780083150013,Ampigrin Pfc Fco,"Ampigrin Pfc Fco (Ampicilina,Clorfenamina,Paracetamol) 50 mg/3 mg/300 mg 24 Cap",22142571,2,1,26.9,2024-10-31,ALLY-Farmacia,
7502001162976,Aspitak-P,Aspitak-P (Acido Acetilsalicilico) 100 mg 30 Comprimido,22103443,2,2,21.96,2024-10-31,ALLY-Farmacia,
7501125165535,Unokavi 5 amp. 1ml,Unokavi 5 amp. 1ml (Fitomenadiona) 10 mg 1 Emulsion,B22T200,2,1,180.52,2024-10-31,ALLY-Farmacia,
8400009319,Snelvit Os,Snelvit Os   (Multivitaminas y Minerales ) 0.952 g  60 Capsula,22146560,1,1,600.43,2024-11-30,ALLY-Farmacia,
7501075721515,Mebendazol 100mg ,Mebendazol 100mg    6 Tab,170022,1,1,27.5,2024-11-30,ALLY-Farmacia,
7501082201307,Keflex,Keflex   (Cefalexina ) 500 mg  12 Tableta,62000,1,1,633.54,2024-11-30,ALLY-Farmacia,
7506442700827,Olmesartan Hidroclorotiazida,"Olmesartan Hidroclorotiazida (Olmesartán,Hidroclorotiazida) 40 mg/12.5 mg 28 Tab",OLH22038,390,4,178.5,2024-12-19,ALLY-Farmacia,
7501027514257,Evenflo Biberón  Acuario 8onz  120ml ,Evenflo Biberón  Acuario 8onz  120ml    1 Solido,1910312,1,1,25.8,2024-12-31,ALLY-Farmacia,
7502251891145,Karxitran,Karxitran   (Metotrexato ) 2.5 mg  50 Tableta,1S22255,5,3,166.67,2024-12-31,ALLY-Farmacia,
7503007822680,Novofine 32g 0.23/0.25 x 6 mm ,Novofine 32g 0.23/0.25 x 6 mm    7 Jeringa,20A03S,11,8,43.19,2024-12-31,ALLY-Farmacia,
7502227420218,Retigel,"Retigel ( Retinol.,Vitamina A) 50 mg/50 mg 40 Cap",222485,6,6,24.44,2024-12-31,ALLY-Farmacia,
7891317027476,Keflex,Keflex 100 ml (Cefalexina ) 250/5 ml  1 Suspensión,110530C,2,2,640.03,2025-01-18,ALLY-Farmacia,
7501050600286,Diprosone 30g,"Diprosone 30g (Betametasona,Gentamicina) 50 mg/100 mg 1 Crema",W004506,3,3,272.01,2025-01-26,ALLY-Farmacia,
7502216805484,Ácido acetilsalicílico / Cafeína,"Ácido acetilsalicílico / Cafeína   (Ácido Acetilsalicílico, Cafeína ) 850 mg/65 mg  10 Sobres",3AN200A,2,1,25.72,2025-01-31,ALLY-Farmacia,
7502216808478,Estrogenos Conjugados,Estrogenos Conjugados (Estrógenos Conjugados) 0.625 mg 42 Tab,3AH092A,10,8,309.0,2025-01-31,ALLY-Farmacia,
7503001007663,Wamindel Inf 120 ml,Wamindel Inf 120 ml (Paracetamol) 3 g 1 Solución,LA2358,150,14,16.15,2025-01-31,ALLY-Farmacia,
7501299355060,Cicloferon Extrem Color Piel 5g,"Cicloferon Extrem Color Piel 5g (Aciclovir,Lidocaína) 0.05 g/0.02 g 1 Crema",H01128,20,5,72.49,2025-01-31,ALLY-Farmacia,
7502227875568,Desrotan,Desrotan (Fexofenadina) 180 mg 10 Tab,RD048,14,14,100.5,2025-01-31,ALLY-Farmacia,
7502226294131,Oseltamivir,Oseltamivir (Oseltamivir) 75 mg 10 Cap,2301168,1,1,231.0,2025-01-31,ALLY-Farmacia,
7502216806931,Valproato semisodico,Valproato semisodico (Valproato Semisódico) 250 mg 30 Comprimido,3AN472A,1,1,93.23,2025-01-31,ALLY-Farmacia,
725742762183,Adiolol,Adiolol (Tramadol) 50 mg 60 Cap,32-012302,2,1,102.27,2025-01-31,ALLY-Farmacia,
7501349026230,Amoxicilina A.C,"Amoxicilina A.C (Amoxicilina,Ácido clavulánico) 875 mg/125 mg 10 Tab",00223179,2,1,48.0,2025-02-20,ALLY-Farmacia,
7503002773178,Iprasuavelin 2.5mlP/Neb,"Iprasuavelin 2.5mlP/Neb ( Bromuro Ipratropio,Salbutamol) 0.5 mg/2.5 mg 10 Suspensión",3B092,1,1,0.5,2025-02-20,ALLY-Farmacia,
7501349026230,Amoxicilina A.C,"Amoxicilina A.C (Amoxicilina,Ácido clavulánico) 875 mg/125 mg 10 Tab",Q0223179,2,2,49.03,2025-02-20,ALLY-Farmacia,
